registry_id,task_id,queue_id,route,terminal_district,source_family,source_artifact_mode,source_title,source_url_or_cache_artifact,capture_date,contact_statement_status,selected_higher_tier_attachment_status,registry_status,proof_source_artifact,registry_blocker,contract_artifact,next_artifact,validation_status
T4CONTACTREGISTRY-T4CONTACTT3SOUTHEASTI185,T4PROOF-T4CONTACTT3SOUTHEASTI185,T4CONTACT-T3SOUTHEAST-I185,I-185,Atlanta Hulsey,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3SOUTHEASTUS278,T4PROOF-T4CONTACTT3SOUTHEASTUS278,T4CONTACT-T3SOUTHEAST-US278,US278,Atlanta Hulsey,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3SOUTHEASTUS84,T4PROOF-T4CONTACTT3SOUTHEASTUS84,T4CONTACT-T3SOUTHEAST-US84,US84,Atlanta Hulsey,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3SOUTHEASTI795,T4PROOF-T4CONTACTT3SOUTHEASTI795,T4CONTACT-T3SOUTHEAST-I795,I-795,Charlotte Intermodal,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3SOUTHEASTUS119,T4PROOF-T4CONTACTT3SOUTHEASTUS119,T4CONTACT-T3SOUTHEAST-US119,US119,Charlotte Intermodal,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI115,T4PROOF-T4CONTACTT3GREATLAKESI115,T4CONTACT-T3GREATLAKES-I115,I-115,Chicago Intermodal Complex,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI176,T4PROOF-T4CONTACTT3GREATLAKESI176,T4CONTACT-T3GREATLAKES-I176,I-176,Chicago Intermodal Complex,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI294,T4PROOF-T4CONTACTT3GREATLAKESI294,T4CONTACT-T3GREATLAKES-I294,I-294,Chicago Intermodal Complex,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS41,T4PROOF-T4CONTACTT3GREATLAKESUS41,T4CONTACT-T3GREATLAKES-US41,US41,Chicago Intermodal Complex,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI271,T4PROOF-T4CONTACTT3GREATLAKESI271,T4CONTACT-T3GREATLAKES-I271,I-271,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI279,T4PROOF-T4CONTACTT3GREATLAKESI279,T4CONTACT-T3GREATLAKES-I279,I-279,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI471,T4PROOF-T4CONTACTT3GREATLAKESI471,T4CONTACT-T3GREATLAKES-I471,I-471,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS22,T4PROOF-T4CONTACTT3GREATLAKESUS22,T4CONTACT-T3GREATLAKES-US22,US22,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS224,T4PROOF-T4CONTACTT3GREATLAKESUS224,T4CONTACT-T3GREATLAKES-US224,US224,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS250,T4PROOF-T4CONTACTT3GREATLAKESUS250,T4CONTACT-T3GREATLAKES-US250,US250,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS35,T4PROOF-T4CONTACTT3GREATLAKESUS35,T4CONTACT-T3GREATLAKES-US35,US35,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS74,T4PROOF-T4CONTACTT3GREATLAKESUS74,T4CONTACT-T3GREATLAKES-US74,US74,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3MOUNTAINWESTUS87,T4PROOF-T4CONTACTT3MOUNTAINWESTUS87,T4CONTACT-T3MOUNTAINWEST-US87,US87,Denver Logistics Hub,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI196,T4PROOF-T4CONTACTT3GREATLAKESI196,T4CONTACT-T3GREATLAKES-I196,I-196,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI496,T4PROOF-T4CONTACTT3GREATLAKESI496,T4CONTACT-T3GREATLAKES-I496,I-496,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI696,T4PROOF-T4CONTACTT3GREATLAKESI696,T4CONTACT-T3GREATLAKES-I696,I-696,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
