budget_id,optimizer_run_id,tier,region_id,subject_scope,subject_id,segment_bundle_id,route,ledger_row_count,hard_blocker_count,claim_blocker_count,review_count,budget_debt_count,constraint_debt_cost_m,lifecycle_debt_cost_m,constraint_penalty_score,top_constraint_classes,blocking_claims,next_artifacts,constraint_ledger_artifact,validation_status
CB-T1-ROUTE-I395,tier-optimizer-current,T1,national,route,I395,,I395,1,0,0,0,0,0.0,0.0,0.0,route_budget,,data/t1-line-selector.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I40I95,tier-optimizer-current,T1,national,route,I40;I95,,I40;I95,1,0,0,0,0,0.0,0.0,0.0,schematic_geometry_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I45,tier-optimizer-current,T1,national,route,I45,,I45,1,0,0,0,0,0.0,0.0,0.0,route_budget,,data/t1-line-selector.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I55,tier-optimizer-current,T1,national,route,I55,,I55,1,0,0,0,0,0.0,0.0,0.0,route_budget,,data/t1-line-selector.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I64,tier-optimizer-current,T1,national,route,I64,,I64,1,0,0,0,0,0.0,0.0,0.0,route_budget,,data/t1-line-selector.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I69,tier-optimizer-current,T1,national,route,I69,,I69,1,0,0,0,0,0.0,0.0,0.0,route_budget,,data/t1-line-selector.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I80I90,tier-optimizer-current,T1,national,route,I80;I90,,I80;I90,1,0,0,0,0,0.0,0.0,0.0,schematic_geometry_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T1-ROUTE-I94,tier-optimizer-current,T1,national,route,I94,,I94,1,0,0,0,0,0.0,0.0,0.0,route_budget,,data/t1-line-selector.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE04673225D03E1ABF,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.04673225D03E1ABF,US.HWYBUNDLE.04673225D03E1ABF,I225,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE151E853156D7ED4B,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.151E853156D7ED4B,US.HWYBUNDLE.151E853156D7ED4B,I664,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE172214B51AB61796,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.172214B51AB61796,US.HWYBUNDLE.172214B51AB61796,US2,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE174D6918A9C2A6B2,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.174D6918A9C2A6B2,US.HWYBUNDLE.174D6918A9C2A6B2,I635,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE23CC0D7CE82B5A66,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.23CC0D7CE82B5A66,US.HWYBUNDLE.23CC0D7CE82B5A66,I205,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE3940FBF995BBBC72,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.3940FBF995BBBC72,US.HWYBUNDLE.3940FBF995BBBC72,I220,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE394EF7F995C7F302,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.394EF7F995C7F302,US.HWYBUNDLE.394EF7F995C7F302,I264,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE3951F4F995CA23C0,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.3951F4F995CA23C0,US.HWYBUNDLE.3951F4F995CA23C0,I275,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
